stop_name	mainTrafficType	lat	lon
Komořany	bus	49.9920654	14.4104176
Konvářka	bus	50.05462	14.4018335
Korandova	bus	50.02247	14.4210835
Korek	bus	50.1055	14.3596
Korunovační	tram	50.0997047	14.4205809
Korytná	bus	50.0644	14.4937258
Kostrounek	bus	49.9694824	14.3823
Kotlářka	tram	50.0695648	14.3629227
Kotorská	tram	50.05447	14.436738
Koupaliště Čakovice	trolleybus	50.1475754	14.5250692
Kovárna	bus	50.1174622	14.4166059
Kovářova - KD Mlejn	bus	50.0484352	14.3177834
Kovošrot	bus	50.061985	14.5422955
Krahulčí	bus	50.1071	14.60406
Krakov	bus	50.1276855	14.4168005
Královice	bus	50.03693	14.6355839
Královická	bus	50.0649834	14.5158
Královka	tram	50.0848961	14.380744
Královský letohrádek	tram	50.0942268	14.4049978
Krčská	bus	50.0436478	14.442112
Krčský hřbitov	bus	50.04651	14.439642
Krejcárek	tram	50.0951347	14.4750986
Krematorium Motol	tram	50.066227	14.3264589
Krematorium Strašnice	tram	50.07732	14.48472
Krňovická	bus	50.10193	14.65907
Krocínka	bus	50.1160851	14.5034676
Krymská	tram	50.07198	14.4469948
Krystalová	trolleybus	50.15596	14.5225277
Křeslice	bus	50.0233841	14.5652018
Křižíkova	metroB	50.0941963	14.4517746
Křížová	tram	50.0631638	14.404707
Kubánské náměstí	tram	50.0708847	14.47785
Kublov	tram	50.0543976	14.4181223
Kudrnova	bus	50.0720673	14.34325
Kuchyňka	bus	50.1173019	14.4518242
Kukulova	bus	50.078495	14.3445435
Kuliška	bus	50.10775	14.3644819
Kundratka	trolleybus	50.112484	14.47976
Kunratice	bus	50.0129051	14.4882956
Kunratická škola	bus	50.0133667	14.4828444
Kusá	bus	50.0870247	14.3609915
Kutnohorská	bus	50.06365	14.552557
Kutvirtova	bus	50.05727	14.3927727
Kvasinská	bus	50.0627251	14.6424837
Květinková	bus	50.09028	14.4890976
Květnová	bus	50.14277	14.4779005
Kyje	bus	50.09795	14.5494175
Kyjský hřbitov	bus	50.0931931	14.5467262
Kyselova	tram	50.12618	14.4630222
Labe	bus	50.0138	14.4209337
Ládví	metroC	50.1264839	14.4701414
Lahovice	bus	49.98987	14.3987007
Lahovický most	bus	49.9954338	14.3980827
Lahovičky	bus	50.0000648	14.3956795
Lahovská	bus	49.9982758	14.36703
Lánská	bus	50.0985565	14.540205
Laurová	tram	50.0611458	14.398015
Lazarská	tram	50.07924	14.4199219
Lázeňka	bus	50.0592155	14.5860176
Lehárova	bus	50.0087357	14.4062891
Lehovec	tram	50.106884	14.5472269
Lešanská	bus	50.0458336	14.4829006
Letecké muzeum	bus	50.1258163	14.5357008
Letenské náměstí	tram	50.09995	14.4240913
Letiště	undefined	50.1060867	14.2719526
Letňanská	trolleybus	50.1224556	14.5070572
Letňany	metroC	50.1259651	14.5167828
Levského	tram	50.0051231	14.4360819
Lhotecký les	bus	50.0156021	14.4371843
Lhotka	bus	50.0210457	14.4383516
Liběchovská	bus	50.1441269	14.4722242
Libeňská	bus	50.1366	14.43015
Libeňské doky	bus	50.1052475	14.4704266
Libeňský most	tram	50.1034279	14.4638062
Libeňský zámek	tram	50.10831	14.4722
Líbeznická	tram	50.1292877	14.4552126
Libocká	bus	50.0869675	14.3295069
Libošovická	bus	50.1109	14.5999012
Libuš	tram	50.0092125	14.4554539
Lidečská	bus	50.0607071	14.3012409
Lihovar	tram	50.05143	14.4092245
Limuzská	tram	50.0788345	14.5083342
Lipanská	tram	50.0839157	14.4537115
Lipany	bus	49.99942	14.6177626
Lipence	bus	49.95976	14.3526087
Lipnická	bus	50.1131058	14.56017
Lipovická	bus	49.99671	14.4675655
Lísek	bus	50.0426178	14.4563341
Litochlebské náměstí	bus	50.031498	14.5054235
Litovický potok	bus	50.088707	14.3263988
Livornská	bus	50.04102	14.551755
Lnářská	bus	50.0282478	14.5979643
Logistická zóna Horní Počernice	bus	50.11541	14.5917606
Lohenická	bus	50.14955	14.5878172
Lochkov	bus	50.0031853	14.3525667
Lomnická	bus	50.087513	14.5635519
Lomy	bus	49.99827	14.3299341
Lotyšská	tram	50.1034851	14.3949137
Luka	metroB	50.0455	14.3210669
Lukášova	bus	50.0882378	14.4583836
Lukavecká	bus	50.11603	14.61732
Lužiny	metroB	50.04448	14.3297415
Lýskova	bus	50.0508	14.3094835
Lysolaje	bus	50.1269341	14.3667507
Madlina	bus	50.1204338	14.4846506
Macharovo náměstí	bus	50.0942	14.3821
Malá Chuchle	bus	50.024807	14.3944826
Malá Ohrada	bus	50.04027	14.3399963
Malešická	bus	50.0862846	14.482
Malešická továrna	tram	50.0772743	14.5247145
Malešické náměstí	bus	50.08463	14.5103807
Malešický park	bus	50.08647	14.4958725
Malostranská	metroA	50.0903625	14.4101009
Malostranské náměstí	tram	50.08798	14.4043283
Malovanka	tram	50.0855942	14.3825035
Malvazinky	bus	50.06497	14.3883
Malý Berlín	bus	50.1033249	14.4358139
Malý Břevnov	tram	50.07591	14.3312407
Maniny	tram	50.1033478	14.4526577
Mariánské náměstí	bus	50.087326	14.4173632
Marjánka	tram	50.0845375	14.3758984
Masarykovo nádraží	tram	50.0876846	14.4325132
Masná	bus	50.08923	14.4241171
Maškův mlýn	bus	49.99885	14.3185005
Matějská	bus	50.11498	14.3840036
Měděnecká	bus	50.1496849	14.4488506
Měchenická	bus	50.0499649	14.4888468
Městský archiv Chodovec	bus	50.0410767	14.4952536
Metodějova	bus	50.02616	14.5214434
Mezi Hřbitovy	tram	50.0816574	14.4717417
Michelangelova	bus	50.0700722	14.5098219
Michelská	tram	50.0550652	14.4538288
Michnovka	bus	50.0396347	14.3975
Mikulova	bus	50.03188	14.515
Milevská	bus	50.0486145	14.4302711
Milíčov	bus	50.0269737	14.5306749
Mílová	bus	50.0100746	14.466855
Mirovická	bus	50.1314354	14.4527836
Miškovice	trolleybus	50.15602	14.5420055
Mladějovská	bus	50.13255	14.56035
Mládí	bus	50.0500336	14.3216333
Modrá škola	bus	50.0304337	14.524334
Modřanská rokle	tram	50.0064163	14.4290285
Modřanská škola	tram	50.0092239	14.4030533
Mokrá	bus	50.0335464	14.5042439
Mokřanská	bus	50.06309	14.5268488
Moráň	tram	50.0740242	14.4187307
Moravanská	bus	50.1478157	14.5784178
Morseova	bus	50.03515	14.558836
Most Závodu míru	bus	49.972683	14.3951159
Motol	tram	50.0676727	14.3365221
Mototechna	bus	50.0540924	14.3154383
Mrákovská	bus	50.0278358	14.3009768
Mrázovka	bus	50.06833	14.3925486
Mrkosova	bus	50.00736	14.3810139
Murmanská	bus	50.0730667	14.4807167
Můstek	metroAB	50.08312	14.4249659
Muzeum	metroAC	50.07884	14.432457
Myslíkova	tram	50.07817	14.4190493
Myšlínská	bus	50.0621872	14.5346174
Na Beránku	bus	49.99759	14.4286757
Na Blanici	bus	50.03701	14.5832272
Na Bojišti	bus	50.0728569	14.4274225
Na Boleslavce	bus	50.169796	14.4839725
Na Cikorce	bus	50.01214	14.4126663
Na Fabiánce	bus	50.1613426	14.4835958
Na Formance	bus	50.0165558	14.5315075
Na Groši	tram	50.0529747	14.524025
Na Havránce	bus	50.0065346	14.4101839
Na Homoli	tram	50.0763245	14.5303459
Na Hroudě	tram	50.070507	14.4887
Na Hřebenech	bus	50.05182	14.4284506
Na Hůrce	bus	50.0780067	14.2920284
Na Hvězdárně	bus	50.0051041	14.3750162
Na Jelenách	bus	50.02199	14.4999971
Na Knížecí	tram	50.06852	14.4064989
Na Košíku	bus	50.04713	14.51497
Na Kovárně	bus	50.1178246	14.6280251
Na Křečku	bus	50.04397	14.567
Na Lhotkách	bus	49.953392	14.3682928
Na Lukách	bus	50.09741	14.511467
Na Lysinách	bus	50.02231	14.4124413
Na Míčánkách	bus	50.07125	14.46484
Na Mlýnici	bus	50.1142159	14.3201666
Na Mlýnku	bus	50.1119347	14.3733168
Na Okraji	undefined	50.09023	14.344388
Na Padesátém	bus	50.0644836	14.5050173
Na Padesátníku	bus	50.1025429	14.2892971
Na Palouku	bus	50.0803261	14.4886522
Na Parcelách	bus	50.1105	14.3356009
